NJogo,JogadorVermelho,JogadorAzul
1,0,0
2,1,0
3,2,3
4,4,3
5,3,5
6,4,3
7,0,1
8,3,3
9,3,0
10,2,1
11,1,5
12,1,0
13,1,1
14,3,4
15,1,1
16,4,2
17,0,0
18,0,0
19,2,2
20,2,3
21,1,6
22,1,3
23,4,0
24,0,3
25,0,1
26,0,5
27,0,0
28,1,2
29,0,3
30,10,7
31,1,5
32,0,0
33,5,2
34,4,3
35,2,0
36,1,2
37,2,3
38,0,1
39,0,0
40,1,0
41,0,0
42,0,2
43,1,0
44,0,1
45,1,2
46,1,2
47,0,2
48,0,0
49,1,1
50,0,0
51,5,7
52,0,3
53,1,2
54,5,0
55,2,0
56,2,0
57,3,0
58,1,0
59,0,1
60,1,0
61,1,0
62,0,1
63,1,3
64,1,0
65,0,1
66,1,1
67,0,1
68,0,2
69,1,1
70,1,0
71,1,0
72,0,1
73,1,2
74,2,1
75,1,1
76,1,0
77,0,1
78,1,2
79,1,0
80,1,1
81,0,3
82,1,0
83,3,5
84,3,0
85,0,1
86,2,0
87,1,2
88,0,2
89,0,2
90,0,2
91,2,2
92,1,1
93,8,10
94,4,3
95,2,4
96,2,0
97,2,2
98,2,1
99,1,1
100,0,1
101,1,0
102,1,4
103,1,1
104,2,3
105,0,1
106,1,3
107,1,1
108,0,0
109,0,0
110,0,1
111,6,7
112,2,2
113,5,2
114,1,2
115,4,5
116,1,2
117,8,3
118,3,3
119,1,1
120,2,2
121,1,0
122,1,3
123,2,3
124,0,1
125,2,0
126,0,0
127,0,0
128,1,0
129,0,0
130,0,0
131,0,4
132,1,5
133,0,1
134,3,1
135,0,0
136,2,2
137,2,1
138,2,1
139,0,2
140,0,0
141,0,0
